"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","DX32","DX70","DX90","EMNT","EMXT","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2025-01","3.8","0","0","16","0","40","81","0.60",,"56.3","67.8","44.8"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2025-02","4.5","5","0","11","0","44","88","2.77",,"58.8","67.9","49.8"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2025-03","6.3","6","0","6","0","41","79","1.35",,"58.0","65.7","50.3"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2025-04","6.0","11","0","12","0","47","82","0.22",,"61.4","69.2","53.5"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2025-05","6.0","94","0","22","2","54","95","0.00",,"66.6","74.0","59.3"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2025-06","6.0","226","0","30","0","59","86","0.01",,"69.4","76.9","61.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2025-07","5.8","409","0","31","0","61","86","0.00",,"70.9","78.5","63.2"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2025-08",,"728","0","31","9","63","94","0.00",,"75.3","84.2","66.4"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2025-09","5.6","1021","0","30","4","64","93","0.03",,"74.7","82.8","66.6"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2025-10","4.5","1122","0","30","2","53","94","0.92",,"68.0","77.2","58.7"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2025-11","3.6","1145","0","17","0","47","84","3.66",,"62.9","70.9","55.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2025-12","3.4","1149","0","11","0","44","84","3.59",,"60.5","69.7","51.3"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","33.81177","-118.14718","10.2","2026-01",,"12","0","18","0","41","86","1.81",,"60.9","72.5","49.2"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2021-01",,"0","0","0","0","26","68",,,"48.3","53.4","43.2"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2021-02",,"0","0","1","0","35","71",,,"50.3","57.6","43.0"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2021-03",,"1","0","2","0","28","76",,,"47.9","55.6","40.1"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2021-04",,"34","0","15","0","37","87",,,"57.9","65.9","49.9"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2021-05",,"93","0","17","0","38","85",,,"62.0","70.6","53.5"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2021-06",,"419","0","26","8","44","107",,,"74.4","83.6","65.2"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2021-07",,"825","0","31","8","60","94",,,"78.1","86.4","69.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2021-08",,"1171","0","29","9","52","98",,,"75.6","84.3","66.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2021-09",,"1434","0","28","4","50","95",,,"73.0","81.2","64.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2021-10",,"1488","0","11","0","39","86",,,"59.5","67.2","51.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2021-11",,"1532","0","13","0","45","82",,,"61.9","68.0","55.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2021-12",,"1535","0","4","0","29","72",,,"46.7","52.0","41.4"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2022-01",,"0","0","1","0","31","70",,,"50.8","56.1","45.6"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2022-02",,"4","0","4","0","27","74",,,"50.5","57.3","43.7"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2022-03",,"16","0","10","0","31","78",,,"53.9","62.3","45.4"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2022-04",,"40","0","11","0","31","86",,,"56.3","65.4","47.1"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2022-05",,"102","0","18","0","36","87",,,"61.6","71.3","52.0"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2022-06",,"359","0","27","4","47","91",,,"72.9","82.1","63.6"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2022-07",,"726","0","31","6","55","94",,,"76.8","85.0","68.5"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2022-08",,"1174","0","31","10","65","101",,,"79.4","87.5","71.5"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2022-09",,"1496","0","28","12","49","100",,,"74.9","83.5","66.3"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2022-10",,"1629","0","22","0","43","88",,,"66.8","75.0","58.7"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2022-11",,"1629","0","0","0","34","68",,,"49.6","55.3","43.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2022-12",,"1630","0","2","0","31","72",,,"46.7","51.6","41.9"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2023-01",,"0","0","0","0","30","62",,,"42.6","47.8","37.3"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2023-02",,"0","1","0","0","25","65",,,"42.9","49.4","36.4"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2023-03",,"0","0","0","0","27","63",,,"42.6","48.7","36.4"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2023-04",,"41","0","13","0","29","84",,,"57.0","65.8","48.2"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2023-05",,"106","0","11","0","35","85",,,"56.5","63.4","49.6"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2023-06",,"133","0","11","1","42","92",,,"58.6","66.4","50.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2023-07",,"557","0","31","11","59","97",,,"78.7","86.0","71.3"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2023-08",,"863","0","29","6","52","94",,,"74.5","82.2","66.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2023-09",,"953","0","19","0","46","86",,,"65.0","72.0","58.1"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2023-10",,"1096","0","17","0","44","89",,,"65.1","71.8","58.5"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2023-11",,"1115","0","6","0","40","78",,,"55.1","60.9","49.2"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2023-12",,"1115","0","0","0","37","68",,,"51.9","56.9","46.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2024-01",,"0","0","0","0","29","68",,,"47.2","53.1","41.3"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2024-02",,"0","0","0","0","30","64",,,"44.8","50.6","39.1"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2024-03",,"0","0","0","0","34","66",,,"47.2","53.8","40.6"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2024-04",,"11","0","9","0","30","81",,,"53.2","61.8","44.6"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2024-05",,"22","0","11","0","36","77",,,"58.0","65.7","50.3"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2024-06",,"208","0","27","2","51","93",,,"70.5","78.4","62.7"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2024-07",,"725","0","31","16","60","104",,,"81.7","89.2","74.2"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2024-08",,"1084","0","31","10","51","96",,,"76.4","84.9","67.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2024-09",,"1431","0","24","13","46","103",,,"74.7","83.0","66.3"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2024-10",,"1695","0","24","7","40","100",,,"70.6","78.3","62.9"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2024-11",,"1695","0","2","0","36","71",,,"51.9","58.4","45.4"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2024-12",,"1698","0","2","0","37","74",,,"55.6","61.5","49.7"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2025-01",,"0","0","0","0","31","65",,,"47.3","53.3","41.3"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2025-02",,"1","0","4","0","34","75",,,"52.3","58.8","45.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2025-03",,"14","0","3","0","30","81",,,"48.1","55.3","40.9"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2025-04",,"24","0","7","0","32","78",,,"53.4","60.8","46.0"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2025-05",,"99","0","14","0","41","87",,,"61.4","69.6","53.2"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2025-06",,"283","0","26","0","50","89",,,"70.2","78.1","62.3"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2025-07",,"493","0","31","1","53","90",,,"71.5","79.6","63.4"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2025-08",,"891","0","31","10","60","96",,,"77.8","85.9","69.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2025-09",,"1084","0","24","2","50","92",,,"70.1","77.9","62.2"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2025-10",,"1149","0","21","0","40","82",,,"63.4","71.5","55.3"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2025-11",,"1192","0","9","0","37","83",,,"57.3","62.8","51.8"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2025-12",,"1206","0","5","0","38","75",,,"56.6","61.6","51.6"
"USR0000CCP9","CAMP 9 CALIFORNIA, CA US","34.3617","-118.4217","1219.2","2026-01",,"0","0","0","0","35","68",,,"52.6","56.6","48.7"
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2021-01",,,,,,,,"3.08",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2021-02",,,,,,,,"0.23",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2021-03",,,,,,,,"1.89",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2021-04",,,,,,,,"0.28",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2021-05",,,,,,,,"0.10",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2021-06",,,,,,,,"0.00","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2021-07",,,,,,,,"0.22","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2021-08",,,,,,,,"0.02","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2021-09",,,,,,,,"0.06","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2021-10",,,,,,,,"0.96",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2021-11",,,,,,,,"0.00","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2021-12",,,,,,,,"8.83",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2022-01",,,,,,,,"0.26","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2022-02",,,,,,,,"0.22","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2022-03",,,,,,,,"1.82","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2022-04",,,,,,,,"0.44",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2022-05",,,,,,,,"0.27",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2022-06",,,,,,,,"0.03","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2022-07",,,,,,,,"0.00","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2022-08",,,,,,,,"0.00","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2022-09",,,,,,,,"0.53","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2022-10",,,,,,,,"0.59",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2022-11",,,,,,,,"3.31",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2022-12",,,,,,,,"2.39",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2023-01",,,,,,,,"10.70",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2023-02",,,,,,,,"5.24",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2023-03",,,,,,,,"11.47",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2023-04",,,,,,,,"0.67",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2023-05",,,,,,,,"1.22",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2023-06",,,,,,,,"0.78",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2023-07",,,,,,,,"0.00","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2023-08",,,,,,,,"4.96",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2023-09",,,,,,,,"0.41",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2023-10",,,,,,,,"0.39","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2023-11",,,,,,,,"0.67","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2023-12",,,,,,,,"2.24",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2024-01",,,,,,,,"2.31",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2024-02",,,,,,,,"14.58",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2024-03",,,,,,,,"4.14",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2024-04",,,,,,,,"0.50",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2024-05",,,,,,,,"0.61",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2024-06",,,,,,,,"0.00","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2024-07",,,,,,,,"0.00","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2024-08",,,,,,,,"0.00","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2024-09",,,,,,,,"0.05","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2024-10",,,,,,,,"0.43","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2024-11",,,,,,,,"0.25",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2024-12",,,,,,,,"0.02","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2025-01",,,,,,,,"0.90","0.0",,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2025-02",,,,,,,,"6.31",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2025-03",,,,,,,,"2.99",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2025-04",,,,,,,,"0.61",,,,
"US1CALA0081","GLENDORA 1.4 ESE, CA US","34.13545","-117.82381","293.2","2025-05",,,,,,,,"1.12",,,,
